tgl,ot,lat,lon,depth,mag,remark
1/1/2018,22.48.13,-0.01,122.55,158,2.4,Minahassa Peninsula - Sulawesi
1/1/2018,22.28.09,-0.2,125.41,10,3.3,Southern Molucca Sea
1/1/2018,18.32.23,-8.3,123.53,10,2.9,Flores Region - Indonesia
1/1/2018,17.46.55,1.01,132.52,10,3.3,Irian Jaya Region - Indonesia
1/1/2018,17.38.34,0.27,121.83,170,2.6,Minahassa Peninsula - Sulawesi
1/1/2018,16.32.39,-8.49,121.3,181,4.5,Flores Region - Indonesia
1/1/2018,16.25.36,-7.96,116.84,288,4.5,Bali Sea
1/1/2018,16.16.03,-9.82,124.25,10,3.1,Timor Region
1/1/2018,16.05.55,-7.66,119.28,19,3.5,Flores Sea
1/1/2018,15.55.24,-9.48,118.11,22,3.1,Sumbawa Region - Indonesia
1/1/2018,10.40.24,-6.9,106.83,10,3.3,Java - Indonesia
1/1/2018,09.17.58,-3.51,119.1,22,2.5,Sulawesi - Indonesia
1/1/2018,09.04.34,-0.28,125.35,10,4,Southern Molucca Sea
1/1/2018,09.03.10,-0.72,131.12,17,2.5,Irian Jaya Region - Indonesia
1/1/2018,07.48.02,0.59,122.34,61,1.7,Minahassa Peninsula - Sulawesi
1/1/2018,07.32.00,-0.23,122.94,12,2.7,Minahassa Peninsula - Sulawesi
1/1/2018,07.26.02,-4.41,102.14,43,4.8,Southern Sumatra - Indonesia
1/1/2018,06.22.42,-6.46,101.7,10,4.9,Southwest of Sumatra - Indonesia
1/1/2018,05.22.39,0.19,121.95,155,2.4,Minahassa Peninsula - Sulawesi
1/1/2018,04.59.02,2.31,97.06,59,2.9,Northern Sumatra - Indonesia
1/1/2018,04.30.53,-0.24,123.07,63,2.3,Minahassa Peninsula - Sulawesi
1/1/2018,03.32.14,-3.24,128.84,10,3.5,Seram - Indonesia
1/1/2018,03.24.54,-6.11,130.34,157,4.3,Banda Sea
1/1/2018,03.07.10,1.42,122.04,17,1.9,Minahassa Peninsula - Sulawesi
1/1/2018,03.03.26,-9.42,117.9,24,2.4,Sumbawa Region - Indonesia
1/1/2018,02.47.54,-1.4,120.47,10,2.4,Sulawesi - Indonesia
1/1/2018,00.52.33,-0.33,123.73,112,5.1,Minahassa Peninsula - Sulawesi
1/2/2018,23.35.04,-3.02,127.74,57,3.1,Seram - Indonesia
1/2/2018,23.24.28,-5.27,104.51,82,3.1,Southern Sumatra - Indonesia
1/2/2018,21.14.17,-7.61,128.4,12,4.3,Banda Sea
1/2/2018,20.58.34,-7.02,107.77,295,2.7,Java - Indonesia
1/2/2018,20.47.28,-0.15,123.55,12,2.5,Minahassa Peninsula - Sulawesi
1/2/2018,20.30.51,0.74,120.3,12,3,Minahassa Peninsula - Sulawesi
1/2/2018,17.47.12,-0.02,123.52,120,4.5,Minahassa Peninsula - Sulawesi
1/2/2018,17.33.08,-2.93,127.78,28,3.7,Ceram Sea
1/2/2018,15.33.09,-8.29,115.5,11,2.4,Bali Region - Indonesia
1/2/2018,14.40.32,2.34,98.93,129,3.4,Northern Sumatra - Indonesia
1/2/2018,13.44.38,-8.68,118.36,106,3.3,Sumbawa Region - Indonesia
1/2/2018,13.23.46,-8.74,118.35,92,2.9,Sumbawa Region - Indonesia
1/2/2018,11.54.33,-6.52,129.86,172,4.2,Banda Sea
1/2/2018,09.53.01,3.72,126.58,12,3.7,Talaud Islands - Indonesia
1/2/2018,09.50.56,-9.32,122.43,14,2.8,Savu Sea
1/2/2018,07.11.57,1.4,99.7,185,4.3,Northern Sumatra - Indonesia
1/2/2018,06.46.06,0.29,122.48,12,2.8,Minahassa Peninsula - Sulawesi
1/2/2018,03.52.52,-9.98,124.96,18,3,Timor Region
1/2/2018,02.27.03,4.56,124.45,10,3.5,Celebes Sea
1/2/2018,02.21.30,-8.29,119.99,172,3.9,Flores Region - Indonesia
